date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:00	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f777b31-239b%22	https://yevgenysim.github.io/robots.txt		(from )
19:47:00	146856/146856	---M-Z	200	added ('OK')	text/html	etag:W/%225ea1cf52-23da8%22	https://yevgenysim.github.io/shopper/	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/index.html	(from )
19:47:00	7406/7406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225ea1cf51-1cee%22	https://yevgenysim.github.io/shopper/assets/img/favicons/favicon.ico	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/img/favicons/favicon.ico	(from https://yevgenysim.github.io/shopper/)
19:47:00	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf51-31fb%22	https://yevgenysim.github.io/shopper/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	(from https://yevgenysim.github.io/shopper/)
19:47:00	58578/58578	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf51-e4d2%22	https://yevgenysim.github.io/shopper/assets/libs/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/@fortawesome/fontawesome-free/css/all.min.css	(from https://yevgenysim.github.io/shopper/)
19:47:01	1797/1797	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf52-705%22	https://yevgenysim.github.io/shopper/assets/libs/flickity/dist/flickity.min.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/flickity/dist/flickity.min.css	(from https://yevgenysim.github.io/shopper/)
19:47:01	1425/1425	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf52-591%22	https://yevgenysim.github.io/shopper/assets/libs/highlightjs/styles/vs2015.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/highlightjs/styles/vs2015.css	(from https://yevgenysim.github.io/shopper/)
19:47:01	2956/2956	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf52-b8c%22	https://yevgenysim.github.io/shopper/assets/libs/simplebar/dist/simplebar.min.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/simplebar/dist/simplebar.min.css	(from https://yevgenysim.github.io/shopper/)
19:47:01	211/211	---M--	200	added ('OK')	text/css	etag:%225ea1cf52-d3%22	https://yevgenysim.github.io/shopper/assets/libs/flickity-fade/flickity-fade.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/libs/flickity-fade/flickity-fade.css	(from https://yevgenysim.github.io/shopper/)
19:47:01	12429/12429	---M-Z	200	added ('OK')	text/css	etag:W/%225ea1cf51-308d%22	https://yevgenysim.github.io/shopper/assets/fonts/feather/feather.css	C:/My%20Web%20Sites/ProyectoFinal/yevgenysim.github.io/shopper/assets/fonts/feather/feather.css	(from https://yevgenysim.github.io/shopper/)
